x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
3.2,-0.252702832853,0.43248719664,-0.0239201794703,-0.285025792894,-0.191090184585,-0.00890170499825,0.135540838127,0.227819277479,0.183630198349,-0.0145957960782
3.22,-0.250462102234,0.432791408721,-0.0294285583567,-0.286650744473,-0.18751136062,-0.00366200280168,0.139832293108,0.228757648028,0.179319391008,-0.0218873880399
3.24,-0.248228645744,0.433045868835,-0.0349297874492,-0.2881739486,-0.183847974138,0.00157964701191,0.14403912403,0.22953906167,0.174868627114,-0.0291595603942
3.26,-0.24600265939,0.433251002838,-0.0404225669101,-0.289595167462,-0.180101870442,0.00682045835862,0.14815893637,0.230163223488,0.170281564211,-0.0364058915435
3.28,-0.243784335247,0.433407243613,-0.0459056105861,-0.290914203056,-0.176274924647,0.0120576566307,0.152189397242,0.230629948265,0.165561956943,-0.0436199981271
3.3,-0.241573861461,0.433515030856,-0.0513776463241,-0.292130896933,-0.172369040553,0.017288480194,0.156128236552,0.23093916011,0.160713653675,-0.0507955406278
3.32,-0.239371422257,0.43357481086,-0.056837416277,-0.293245129929,-0.168386149509,0.0225101818664,0.159973248096,0.231090892005,0.155740593049,-0.0579262289117
3.34,-0.237177197953,0.433587036294,-0.0622836771999,-0.294256821879,-0.16432820927,0.0277200303755,0.163722290613,0.231085285279,0.150646800484,-0.0650058276965
3.36,-0.234991364964,0.433552165989,-0.0677152007363,-0.295165931317,-0.16019720285,0.0329153117966,0.16737328879,0.230922589005,0.145436384633,-0.0720281619431
3.38,-0.232814095821,0.433470664722,-0.0731307736953,-0.295972455158,-0.155995137379,0.0380933309678,0.170924234208,0.230603159317,0.140113533781,-0.0789871221661
3.4,-0.230645559174,0.433343003003,-0.0785291983183,-0.296676428371,-0.151724042945,0.0432514128842,0.174373186248,0.230127458666,0.134682512208,-0.0858766696589
3.42,-0.228485919815,0.433169656861,-0.083909292537,-0.29727792363,-0.147385971449,0.0483869040681,0.17771827294,0.229496054991,0.129147656506,-0.0926908416293
3.44,-0.226335338686,0.432951107627,-0.0892698902207,-0.297777050958,-0.142982995443,0.0534971739165,0.180957691767,0.228709620829,0.123513371857,-0.0994237562406
3.46,-0.224193972897,0.432687841732,-0.094609841415,-0.298173957351,-0.138517206984,0.0585796160238,0.184089710408,0.227768932348,0.11778412828,-0.106069617555
3.48,-0.222061975742,0.432380350487,-0.0999280125699,-0.298468826394,-0.133990716472,0.0636316494804,0.187112667444,0.226674868315,0.111964456845,-0.112622720376
3.5,-0.219939496718,0.432029129879,-0.105223286759,-0.298661877863,-0.129405651504,0.0686507201453,0.190024972998,0.225428408999,0.106058945855,-0.119077454979
3.52,-0.21782668154,0.431634680364,-0.11049456389,-0.29875336731,-0.124764155715,0.0736343018934,0.19282510934,0.224030635,0.100072237014,-0.125428311746
3.54,-0.215723672164,0.431197506658,-0.115740760902,-0.298743585641,-0.120068387636,0.0785798978357,0.195511631428,0.222482726025,0.0940090215622,-0.131669885668
3.56,-0.213630606804,0.430718117534,-0.120960811959,-0.298632858683,-0.11532051954,0.0834850415135,0.198083167404,0.220785959595,0.0878740363983,-0.137796880749
3.58,-0.211547619956,0.430197025616,-0.126153668628,-0.29842154673,-0.110522736306,0.0883472980644,0.20053841904,0.218941709684,0.0816720601901,-0.143804114276
3.6,-0.209474842417,0.429634747183,-0.131318300053,-0.298110044092,-0.105677234272,0.0931642653609,0.20287616213,0.216951445312,0.0754079094692,-0.149686520977
3.62,-0.207412401309,0.429031801961,-0.136453693118,-0.297698778622,-0.100786220109,0.0979335751204,0.205095246839,0.214816729069,0.0690864347199,-0.155439157043
3.64,-0.205360420102,0.428388712931,-0.141558852595,-0.297188211238,-0.095851909682,0.102652893987,0.20719459799,0.212539215586,0.0627125164626,-0.161057204032
3.66,-0.20331901864,0.427706006129,-0.146632801295,-0.296578835433,-0.0908765269362,0.107319924583,0.209173215312,0.210120649948,0.0562910613369,-0.166535972628
3.68,-0.201288313161,0.426984210453,-0.151674580196,-0.295871176777,-0.085862302773,0.111932406534,0.211030173634,0.207562866058,0.049826998185,-0.171870906276
3.7,-0.19926841633,0.426223857469,-0.156683248572,-0.295065792409,-0.0808114739427,0.116488117458,0.212764623029,0.204867784943,0.0433252741415,-0.177057584678
3.72,-0.197259437258,0.425425481218,-0.161657884111,-0.294163270519,-0.0757262819416,0.120984873935,0.214375788913,0.202037413016,0.0367908507296,-0.182091727148
3.74,-0.195261481534,0.42458961803,-0.166597583019,-0.293164229825,-0.070608971917,0.125420532431,0.21586297209,0.199073840284,0.0302286999704,-0.186969195824
3.76,-0.193274651249,0.423716806335,-0.17150146012,-0.292069319037,-0.0654617915817,0.129792990209,0.217225548752,0.19597923851,0.0236438005048,-0.191685998744
3.78,-0.191299045029,0.42280758648,-0.176368648949,-0.290879216318,-0.0602869901369,0.134100186195,0.218462970433,0.192755859333,0.0170411337338,-0.196238292766
3.8,-0.189334758059,0.421862500542,-0.181198301829,-0.289594628735,-0.0550868172048,0.138340101817,0.219574763912,0.189406032339,0.0104256799787,-0.200622386353
3.82,-0.187381882114,0.420882092151,-0.185989589945,-0.288216291703,-0.0498635217713,0.142510761818,0.220560531071,0.185932163097,0.00380241466473,-0.204834742199
3.84,-0.185440505592,0.419866906308,-0.190741703411,-0.286744968426,-0.0446193511399,0.14661023503,0.221419948711,0.182336731148,-0.0028236954694,-0.208871979713
3.86,-0.183510713539,0.418817489211,-0.195453851323,-0.285181449324,-0.0393565498952,0.150636635123,0.222152768313,0.17862228796,-0.00944769613252,-0.212730877349
3.88,-0.181592587686,0.417734388081,-0.200125261806,-0.283526551465,-0.0340773588794,0.154588121314,0.222758815761,0.174791454846,-0.0160646492104,-0.21640837478
3.9,-0.179686206475,0.416618150988,-0.204755182057,-0.281781117981,-0.0287840141798,0.158462899052,0.223237991023,0.170846920849,-0.0226696364604,-0.219901574927
3.92,-0.177791645096,0.415469326681,-0.209342878371,-0.279946017485,-0.0234787461287,0.16225922067,0.223590267778,0.166791440587,-0.0292577631687,-0.223207745826
3.94,-0.175908975516,0.414288464424,-0.213887636169,-0.278022143484,-0.0181637783162,0.165975385998,0.22381569301,0.162627832077,-0.035824161768,-0.226324322345
3.96,-0.174038266514,0.413076113827,-0.218388760012,-0.276010413782,-0.0128413266166,0.169609742955,0.223914386556,0.158358974525,-0.0423639954119,-0.229248907746
3.98,-0.172179583714,0.411832824688,-0.222845573606,-0.273911769886,-0.00751359822729,0.173160688097,0.223886540609,0.153987806085,-0.0488724615046,-0.231979275087
4,-0.170332989617,0.410559146828,-0.227257419806,-0.271727176401,-0.00218279072225,0.176626667143,0.223732419184,0.1495173216,-0.0553447951831,-0.234513368473
4.02,-0.168498543638,0.409255629935,-0.231623660605,-0.26945762043,0.00314890888015,0.180006175464,0.223452357543,0.144950570315,-0.061776272749,-0.236849304151
4.04,-0.166676302139,0.407922823413,-0.23594367712,-0.267104110963,0.00847932503507,0.18329775854,0.223046761579,0.140290653568,-0.0681622150481,-0.238985371442
4.06,-0.164866318462,0.406561276224,-0.240216869571,-0.264667678265,0.0138062945741,0.186500012387,0.222516107163,0.135540722463,-0.0744979907954,-0.240920033532
4.08,-0.163068642969,0.405171536738,-0.244442657251,-0.262149373272,0.0191276675927,0.189611583948,0.221860939451,0.130703975524,-0.080779019843,-0.242651928088
4.1,-0.161283323073,0.40375415259,-0.248620478485,-0.259550266968,0.0244413083226,0.19263117146,0.221081872156,0.125783656331,-0.0870007763894,-0.244179867739
4.12,-0.159510403276,0.402309670531,-0.252749790595,-0.256871449772,0.0297450959876,0.195557524783,0.22017958678,0.120783051147,-0.0931587921269,-0.245502840388
4.14,-0.157749925203,0.400838636287,-0.25683006984,-0.254114030922,0.035036925644,0.198389445696,0.219154831817,0.115705486523,-0.0992486593266,-0.24662000938
4.16,-0.156001927641,0.399341594418,-0.260860811368,-0.251279137856,0.0403147090039,0.201125788168,0.218008421914,0.110554326903,-0.105266033858,-0.24753071351
4.18,-0.154266446575,0.397819088182,-0.264841529144,-0.248367915592,0.0455763752429,0.203765458596,0.216741237003,0.105332972212,-0.111206638141,-0.248234466887
4.2,-0.152543515221,0.396271659402,-0.268771755887,-0.245381526112,0.0508198717897,0.206307416007,0.215354221398,0.100044855437,-0.11706626403,-0.24873095864
4.22,-0.150833164068,0.394699848328,-0.272651042988,-0.242321147738,0.0560431650995,0.208750672236,0.213848382861,0.0946934402114,-0.122840775628,-0.249020052484
4.24,-0.149135420912,0.393104193515,-0.276478960432,-0.239187974516,0.0612442414096,0.211094292066,0.212224791637,0.0892822183814,-0.128526112026,-0.249101786125
4.26,-0.147450310895,0.391485231692,-0.280255096705,-0.235983215599,0.0664211074779,0.21333739335,0.210484579458,0.0838147075832,-0.134118289973,-0.248976370536
4.28,-0.14577785654,0.389843497637,-0.283979058704,-0.232708094625,0.0715717913033,0.215479147087,0.208628938517,0.0782944488125,-0.139613406463,-0.248644189072
4.3,-0.144118077791,0.38817952406,-0.287650471632,-0.229363849107,0.0766943428285,0.217518777482,0.206659120418,0.0727250039981,-0.145007641256,-0.248105796455
4.32,-0.142470992049,0.386493841479,-0.291268978897,-0.225951729812,0.0817868346248,0.219455561968,0.204576435092,0.0671099535778,-0.150297259311,-0.247361917605
4.34,-0.14083661421,0.384786978107,-0.294834241997,-0.222473000151,0.0868473625584,0.221288831203,0.202382249692,0.0614528940797,-0.155478613147,-0.246413446347
4.36,-0.139214956704,0.38305945974,-0.298345940403,-0.218928935567,0.0918740464387,0.223017969037,0.20007798746,0.0557574357088,-0.160548145116,-0.245261443971
4.38,-0.137606029531,0.381311809641,-0.301803771441,-0.215320822927,0.0968650306482,0.22464241245,0.197665126572,0.0500271999427,-0.165502389602,-0.243907137658
4.4,-0.1360098403,0.379544548435,-0.30520745016,-0.211649959916,0.101818484754,0.226161651463,0.195145198956,0.0442658171366,-0.170337975133,-0.242351918777
4.42,-0.134426394268,0.377758194006,-0.308556709203,-0.207917654431,0.106732604099,0.227575229022,0.192519789086,0.038476924139,-0.175051626409,-0.240597341048
4.44,-0.132855694373,0.375953261388,-0.311851298668,-0.204125223983,0.111605610379,0.228882740849,0.189790532767,0.0326641619204,-0.179640166245,-0.238645118585
4.46,-0.131297741281,0.374130262671,-0.315090985968,-0.200273995099,0.116435752194,0.230083835275,0.186959115879,0.0268311732169,-0.184100517433,-0.236497123802
4.48,-0.129752533414,0.372289706897,-0.318275555686,-0.196365302729,0.121221305586,0.231178213039,0.184027273121,0.0209816001885,-0.188429704511,-0.23415538521
4.5,-0.128220066995,0.370432099972,-0.32140480942,-0.192400489655,0.12596057456,0.232165627065,0.180996786725,0.0151190820953,-0.19262485545,-0.231622085082
4.52,-0.126700336083,0.368557944568,-0.324478565632,-0.188380905905,0.130651891575,0.233045882208,0.177869485152,0.00924725299212,-0.196683203253,-0.228899557011
4.54,-0.12519333261,0.366667740035,-0.327496659489,-0.184307908174,0.13529361803,0.233818834984,0.174647241782,0.00336973944327,-0.200602087461,-0.225990283348
4.56,-0.123699046423,0.364761982314,-0.330458942697,-0.180182859244,0.139884144722,0.234484393266,0.171331973576,-0.0025098417411,-0.204378955578,-0.222896892532
