x,U
-14.12,40.5254619537
-14.1,40.2610116187
-14.08,39.9981702081
-14.06,39.7369283153
-14.04,39.4772765873
-14.02,39.2192057251
-14,38.9627064831
-13.98,38.7077696687
-13.96,38.454386142
-13.94,38.2025468156
-13.92,37.9522426545
-13.9,37.7034646754
-13.88,37.4562039465
-13.86,37.2104515874
-13.84,36.9661987688
-13.82,36.723436712
-13.8,36.4821566886
-13.78,36.2423500207
-13.76,36.0040080799
-13.74,35.7671222874
-13.72,35.5316841139
-13.7,35.297685079
-13.68,35.065116751
-13.66,34.8339707465
-13.64,34.6042387307
-13.62,34.3759124161
-13.6,34.1489835635
-13.58,33.9234439804
-13.56,33.6992855219
-13.54,33.4765000895
-13.52,33.2550796317
-13.5,33.0350161429
-13.48,32.8163016637
-13.46,32.5989282804
-13.44,32.3828881248
-13.42,32.1681733741
-13.4,31.9547762502
-13.38,31.7426890199
-13.36,31.5319039944
-13.34,31.3224135293
-13.32,31.1142100239
-13.3,30.9072859214
-13.28,30.7016337084
-13.26,30.4972459147
-13.24,30.2941151131
-13.22,30.0922339192
-13.2,29.891594991
-13.18,29.6921910287
-13.16,29.4940147746
-13.14,29.2970590127
-13.12,29.1013165686
-13.1,28.9067803091
-13.08,28.713443142
-13.06,28.5212980162
-13.04,28.3303379209
-13.02,28.1405558858
-13,27.9519449806
-12.98,27.764498315
-12.96,27.5782090384
-12.94,27.3930703395
-12.92,27.2090754464
-12.9,27.0262176261
-12.88,26.8444901844
-12.86,26.6638864655
-12.84,26.4843998522
-12.82,26.3060237652
-12.8,26.1287516633
-12.78,25.9525770427
-12.76,25.7774934373
-12.74,25.6034944182
-12.72,25.4305735935
-12.7,25.2587246081
-12.68,25.0879411436
-12.66,24.918216918
-12.64,24.7495456854
-12.62,24.5819212361
-12.6,24.415337396
-12.58,24.2497880267
-12.56,24.085267025
-12.54,23.9217683232
-12.52,23.7592858883
-12.5,23.5978137223
-12.48,23.4373458615
-12.46,23.2778763769
-12.44,23.1193993735
-12.42,22.9619089903
-12.4,22.8053994003
-12.38,22.6498648098
-12.36,22.4952994587
-12.34,22.3416976202
-12.32,22.1890536004
-12.3,22.0373617383
-12.28,21.8866164054
-12.26,21.7368120061
-12.24,21.5879429766
-12.22,21.4400037855
-12.2,21.2929889333
-12.18,21.1468929521
-12.16,21.0017104058
-12.14,20.8574358893
-12.12,20.7140640291
-12.1,20.5715894825
-12.08,20.4300069377
-12.06,20.2893111136
-12.04,20.1494967595
-12.02,20.0105586552
-12,19.8724916104
-11.98,19.735290465
-11.96,19.5989500885
-11.94,19.4634653803
-11.92,19.328831269
-11.9,19.1950427127
-11.88,19.0620946984
-11.86,18.9299822424
-11.84,18.7987003894
-11.82,18.6682442131
-11.8,18.5386088154
-11.78,18.4097893267
-11.76,18.2817809054
-11.74,18.1545787379
-11.72,18.0281780386
-11.7,17.9025740494
-11.68,17.7777620397
-11.66,17.6537373063
-11.64,17.5304951733
-11.62,17.4080309916
-11.6,17.2863401392
-11.58,17.1654180208
-11.56,17.0452600676
-11.54,16.9258617372
-11.52,16.8072185136
-11.5,16.6893259069
-11.48,16.5721794532
-11.46,16.4557747142
-11.44,16.3401072776
-11.42,16.2251727565
-11.4,16.1109667893
-11.38,15.9974850398
-11.36,15.8847231968
-11.34,15.7726769741
-11.32,15.6613421103
-11.3,15.5507143686
-11.28,15.440789537
-11.26,15.3315634276
-11.24,15.2230318767
-11.22,15.1151907451
-11.2,15.0080359172
-11.18,14.9015633014
-11.16,14.7957688299
-11.14,14.6906484581
-11.12,14.5861981653
-11.1,14.4824139538
-11.08,14.3792918492
-11.06,14.2768278999
-11.04,14.1750181776
-11.02,14.0738587764
-11,13.9733458133
-10.98,13.8734754276
-10.96,13.7742437811
-10.94,13.6756470578
-10.92,13.577681464
-10.9,13.4803432278
-10.88,13.3836285991
-10.86,13.2875338499
-10.84,13.1920552735
-10.82,13.0971891848
-10.8,13.0029319201
-10.78,12.909279837
-10.76,12.8162293141
-10.74,12.7237767511
-10.72,12.6319185687
-10.7,12.5406512081
-10.68,12.4499711315
-10.66,12.3598748213
-10.64,12.2703587806
-10.62,12.1814195325
-10.6,12.0930536206
-10.58,12.0052576085
-10.56,11.9180280795
-10.54,11.831361637
-10.52,11.7452549042
-10.5,11.6597045236
-10.48,11.5747071575
-10.46,11.4902594873
-10.44,11.4063582141
-10.42,11.3230000577
-10.4,11.2401817573
-10.38,11.157900071
-10.36,11.0761517755
-10.34,10.9949336665
-10.32,10.9142425583
-10.3,10.8340752836
-10.28,10.7544286935
-10.26,10.6752996577
-10.24,10.5966850637
-10.22,10.5185818173
-10.2,10.4409868424
-10.18,10.3638970807
-10.16,10.2873094916
-10.14,10.2112210522
-10.12,10.1356287574
-10.1,10.0605296194
-10.08,9.98592066775
-10.06,9.91179894946
-10.04,9.83816152861
-10.02,9.76500548639
-10,9.69232792099
-9.98,9.62012594751
-9.96,9.54839669782
-9.94,9.47713732052
-9.92,9.40634498079
-9.9,9.33601686034
-9.88,9.2661501573
-9.86,9.1967420861
-9.84,9.12778987742
-9.82,9.05929077807
-9.8,8.9912420509
-9.78,8.92364097471
-9.76,8.85648484418
-9.74,8.78977096974
-9.72,8.72349667749
-9.7,8.65765930915
-9.68,8.59225622191
-9.66,8.52728478839
-9.64,8.46274239653
-9.62,8.39862644949
-9.6,8.3349343656
-9.58,8.27166357823
-9.56,8.20881153573
-9.54,8.14637570135
-9.52,8.08435355313
-9.5,8.02274258383
-9.48,7.96154030085
-9.46,7.90074422613
-9.44,7.84035189608
-9.42,7.78036086151
-9.4,7.7207686875
-9.38,7.66157295336
-9.36,7.60277125256
-9.34,7.54436119259
-9.32,7.48634039494
-9.3,7.42870649498
-9.28,7.37145714192
-9.26,7.31458999867
-9.24,7.25810274183
-9.22,7.20199306156
-9.2,7.14625866153
-9.18,7.09089725883
-9.16,7.03590658388
-9.14,6.98128438041
-9.12,6.92702840531
-9.1,6.8731364286
-9.08,6.81960623334
-9.06,6.76643561556
-9.04,6.71362238417
-9.02,6.66116436093
-9,6.60905938031
-8.98,6.55730528948
-8.96,6.50589994819
-8.94,6.45484122874
-8.92,6.40412701586
-8.9,6.35375520668
-8.88,6.30372371063
-8.86,6.25403044941
-8.84,6.20467335685
-8.82,6.15565037891
-8.8,6.10695947358
-8.78,6.05859861081
-8.76,6.01056577244
-8.74,5.96285895214
-8.72,5.91547615534
-8.7,5.86841539915
-8.68,5.82167471232
-8.66,5.77525213514
-8.64,5.7291457194
-8.62,5.68335352831
-8.6,5.63787363645
-8.58,5.59270412967
-8.56,5.54784310506
-8.54,5.50328867089
-8.52,5.45903894651
-8.5,5.4150920623
-8.48,5.37144615962
-8.46,5.32809939076
-8.44,5.28504991882
-8.42,5.2422959177
-8.4,5.19983557203
-8.38,5.1576670771
-8.36,5.11578863878
-8.34,5.07419847349
-8.32,5.03289480813
-8.3,4.99187588002
-8.28,4.95113993683
-8.26,4.91068523652
-8.24,4.8705100473
-8.22,4.83061264756
-8.2,4.79099132581
-8.18,4.75164438061
-8.16,4.71257012055
-8.14,4.67376686413
-8.12,4.63523293978
-8.1,4.59696668573
-8.08,4.55896645001
-8.06,4.52123059036
-8.04,4.48375747417
-8.02,4.44654547847
-8,4.40959298982
-7.98,4.37289840427
-7.96,4.33646012735
-7.94,4.30027657394
-7.92,4.26434616827
-7.9,4.22866734385
-7.88,4.19323854343
-7.86,4.15805821892
-7.84,4.12312483134
-7.82,4.08843685082
-7.8,4.05399275646
-7.78,4.01979103635
-7.76,3.98583018749
-7.74,3.95210871575
-7.72,3.91862513579
-7.7,3.88537797104
-7.68,3.85236575365
-7.66,3.81958702441
-7.64,3.78704033274
-7.62,3.75472423659
-7.6,3.72263730247
-7.58,3.69077810529
-7.56,3.65914522842
-7.54,3.62773726358
-7.52,3.59655281079
-7.5,3.56559047836
-7.48,3.53484888281
-7.46,3.50432664883
-7.44,3.47402240924
-7.42,3.44393480493
-7.4,3.41406248485
-7.38,3.3844041059
-7.36,3.35495833294
-7.34,3.32572383872
-7.32,3.29669930383
-7.3,3.26788341668
-7.28,3.23927487342
-7.26,3.21087237794
-7.24,3.18267464175
-7.22,3.15468038404
-7.2,3.12688833154
-7.18,3.09929721854
-7.16,3.07190578682
-7.14,3.04471278559
-7.12,3.01771697149
-7.1,2.99091710851
-7.08,2.96431196798
-7.06,2.93790032848
-7.04,2.91168097586
-7.02,2.88565270313
-7,2.85981431048
-6.98,2.83416460522
-6.96,2.8087024017
-6.94,2.78342652132
-6.92,2.75833579246
-6.9,2.73342905048
-6.88,2.7087051376
-6.86,2.68416290295
-6.84,2.65980120247
-6.82,2.6356188989
-6.8,2.61161486172
-6.78,2.58778796713
-6.76,2.564137098
-6.74,2.54066114384
-6.72,2.51735900076
-6.7,2.4942295714
-6.68,2.47127176495
-6.66,2.44848449708
-6.64,2.42586668989
-6.62,2.40341727189
-6.6,2.38113517798
-6.58,2.35901934936
-6.56,2.33706873357
-6.54,2.31528228437
-6.52,2.29365896177
-6.5,2.27219773195
-6.48,2.25089756727
-6.46,2.22975744617
-6.44,2.2087763532
-6.42,2.18795327895
-6.4,2.16728722001
-6.38,2.14677717897
-6.36,2.12642216433
-6.34,2.10622119052
-6.32,2.08617327785
-6.3,2.06627745244
-6.28,2.04653274624
-6.26,2.02693819696
-6.24,2.00749284806
-6.22,1.98819574869
-6.2,1.96904595368
-6.18,1.95004252351
-6.16,1.93118452425
-6.14,1.91247102754
-6.12,1.89390111059
-6.1,1.87547385608
-6.08,1.8571883522
-6.06,1.83904369258
-6.04,1.82103897625
-6.02,1.80317330763
-6,1.7854457965
-5.98,1.76785555796
-5.96,1.75040171238
-5.94,1.7330833854
-5.92,1.71589970792
-5.9,1.69884981598
-5.88,1.68193285083
-5.86,1.66514795885
-5.84,1.64849429152
-5.82,1.63197100541
-5.8,1.61557726212
-5.78,1.5993122283
-5.76,1.58317507556
-5.74,1.56716498049
-5.72,1.55128112461
-5.7,1.53552269434
-5.68,1.51988888098
-5.66,1.50437888068
-5.64,1.48899189441
-5.62,1.47372712791
-5.6,1.45858379171
-5.58,1.44356110108
-5.56,1.42865827596
-5.54,1.41387454102
-5.52,1.39920912554
-5.5,1.38466126347
-5.48,1.37023019331
-5.46,1.35591515818
-5.44,1.34171540573
-5.42,1.32763018811
-5.4,1.31365876199
-5.38,1.2998003885
-5.36,1.2860543332
-5.34,1.2724198661
-5.32,1.25889626155
-5.3,1.24548279831
-5.28,1.23217875946
-5.26,1.21898343239
-5.24,1.20589610878
-5.22,1.19291608458
-5.2,1.18004265999
-5.18,1.1672751394
-5.16,1.1546128314
-5.14,1.14205504876
-5.12,1.12960110837
-5.1,1.11725033125
-5.08,1.10500204251
-5.06,1.09285557133
-5.04,1.08081025093
-5.02,1.06886541857
-5,1.05702041549
-4.98,1.04527458691
-4.96,1.033627282
-4.94,1.02207785388
-4.92,1.01062565955
-4.9,0.999270059897
-4.88,0.988010419689
-4.86,0.976846107514
-4.84,0.965776495783
-4.82,0.9548009607
-4.8,0.943918882241
-4.78,0.93312964413
-4.76,0.922432633822
-4.74,0.911827242477
-4.72,0.901312864938
-4.7,0.890888899714
-4.68,0.880554748954
-4.66,0.870309818427
-4.64,0.860153517504
-4.62,0.850085259131
-4.6,0.840104459814
-4.58,0.830210539595
-4.56,0.820402922031
-4.54,0.810681034177
-4.52,0.801044306561
-4.5,0.791492173166
-4.48,0.782024071412
-4.46,0.772639442131
-4.44,0.76333772955
-4.42,0.754118381273
-4.4,0.744980848258
-4.38,0.735924584797
-4.36,0.726949048499
-4.34,0.718053700272
-4.32,0.709238004299
-4.3,0.700501428021
-4.28,0.691843442119
-4.26,0.683263520495
-4.24,0.674761140252
-4.22,0.666335781675
-4.2,0.657986928214
-4.18,0.649714066464
-4.16,0.641516686147
-4.14,0.633394280096
-4.12,0.625346344232
-4.1,0.617372377551
-4.08,0.609471882101
-4.06,0.60164436297
-4.04,0.593889328262
-4.02,0.586206289085
-4,0.578594759529
-3.98,0.571054256651
-3.96,0.563584300457
-3.94,0.556184413884
-3.92,0.548854122785
-3.9,0.541592955909
-3.88,0.534400444885
-3.86,0.527276124208
-3.84,0.520219531218
-3.82,0.513230206086
-3.8,0.506307691794
-3.78,0.499451534126
-3.76,0.492661281641
-3.74,0.485936485667
-3.72,0.479276700278
-3.7,0.472681482279
-3.68,0.466150391194
-3.66,0.459682989245
-3.64,0.453278841338
-3.62,0.446937515048
-3.6,0.440658580603
-3.58,0.434441610869
-3.56,0.428286181332
-3.54,0.422191870087
-3.52,0.416158257816
-3.5,0.410184927781
-3.48,0.404271465803
-3.46,0.398417460249
-3.44,0.392622502016
-3.42,0.386886184517
-3.4,0.381208103668
-3.38,0.37558785787
-3.36,0.370025047995
-3.34,0.364519277373
-3.32,0.359070151778
-3.3,0.353677279411
-3.28,0.348340270888
-3.26,0.343058739224
-3.24,0.337832299821
-3.22,0.332660570454
-3.2,0.327543171252
-3.18,0.322479724692
-3.16,0.317469855579
-3.14,0.312513191037
-3.12,0.307609360489
-3.1,0.30275799565
-3.08,0.297958730512
-3.06,0.293211201326
-3.04,0.288515046596
-3.02,0.283869907059
-3,0.279275425675
-2.98,0.274731247616
-2.96,0.270237020249
-2.94,0.265792393124
-2.92,0.261397017962
-2.9,0.257050548645
-2.88,0.252752641195
-2.86,0.248502953773
-2.84,0.244301146654
-2.82,0.240146882224
-2.8,0.236039824965
-2.78,0.231979641439
-2.76,0.22796600028
-2.74,0.22399857218
-2.72,0.220077029878
-2.7,0.216201048147
-2.68,0.21237030378
-2.66,0.208584475583
-2.64,0.204843244358
-2.62,0.201146292895
-2.6,0.197493305959
-2.58,0.193883970276
-2.56,0.190317974525
-2.54,0.186795009325
-2.52,0.183314767224
-2.5,0.179876942686
-2.48,0.17648123208
-2.46,0.173127333672
-2.44,0.16981494761
-2.42,0.166543775914
-2.4,0.163313522465
-2.38,0.160123892994
-2.36,0.156974595072
-2.34,0.153865338099
-2.32,0.150795833289
-2.3,0.147765793667
-2.28,0.144774934051
-2.26,0.141822971045
-2.24,0.138909623029
-2.22,0.136034610146
-2.2,0.133197654293
-2.18,0.130398479112
-2.16,0.127636809976
-2.14,0.124912373981
-2.12,0.122224899938
-2.1,0.119574118358
-2.08,0.116959761446
-2.06,0.114381563088
-2.04,0.111839258843
-2.02,0.109332585934
-2,0.106861283233
-1.98,0.10442509126
-1.96,0.102023752162
-1.94,0.0996570097145
-1.92,0.0973246093042
-1.9,0.0950262979227
-1.88,0.092761824156
-1.86,0.0905309381753
-1.84,0.0883333917279
-1.82,0.086168938127
-1.8,0.0840373322433
-1.78,0.0819383304952
-1.76,0.0798716908398
-1.74,0.0778371727636
-1.72,0.0758345372737
-1.7,0.0738635468883
-1.68,0.0719239656284
-1.66,0.0700155590082
-1.64,0.0681380940264
-1.62,0.0662913391576
-1.6,0.0644750643434
-1.58,0.0626890409835
-1.56,0.0609330419271
-1.54,0.0592068414647
-1.52,0.0575102153187
-1.5,0.0558429406356
-1.48,0.0542047959771
-1.46,0.0525955613119
-1.44,0.0510150180071
-1.42,0.0494629488202
-1.4,0.0479391378903
-1.38,0.0464433707306
-1.36,0.0449754342194
-1.34,0.0435351165925
-1.32,0.0421222074349
-1.3,0.0407364976729
-1.28,0.0393777795658
-1.26,0.0380458466983
-1.24,0.0367404939725
-1.22,0.0354615175997
-1.2,0.0342087150931
-1.18,0.0329818852597
-1.16,0.0317808281926
-1.14,0.0306053452634
-1.12,0.0294552391147
-1.1,0.0283303136519
-1.08,0.0272303740367
-1.06,0.0261552266784
-1.04,0.0251046792274
-1.02,0.0240785405673
-1,0.0230766208075
-0.98,0.0220987312763
-0.96,0.021144684513
-0.94,0.020214294261
-0.92,0.0193073754608
-0.9,0.0184237442422
-0.88,0.0175632179179
-0.86,0.016725614976
-0.84,0.0159107550729
-0.82,0.0151184590266
-0.8,0.0143485488094
-0.78,0.0136008475414
-0.76,0.0128751794833
-0.74,0.0121713700295
-0.72,0.0114892457017
-0.7,0.0108286341417
-0.68,0.0101893641049
-0.66,0.00957126545377
-0.64,0.00897416915077
-0.62,0.00839790725216
-0.6,0.00784231290125
-0.58,0.0073072203219
-0.56,0.00679246481205
-0.54,0.00629788273723
-0.52,0.0058233115242
-0.5,0.00536858965452
-0.48,0.00493355665826
-0.46,0.00451805310764
-0.44,0.00412192061082
-0.42,0.00374500180566
-0.4,0.00338714035348
-0.38,0.00304818093298
-0.36,0.00272796923403
-0.34,0.00242635195167
-0.32,0.00214317678001
-0.3,0.00187829240621
-0.28,0.00163154850454
-0.26,0.00140279573038
-0.24,0.00119188571438
-0.22,0.000998671056511
-0.2,0.000823005320268
-0.18,0.000664743026849
-0.16,0.000523739649381
-0.14,0.000399851607179
-0.12,0.00029293626004
-0.1,0.000202851902571
-0.08,0.000129457758543
-0.06,7.26139752881e-05
-0.04,3.21816181203e-05
-0.02,8.02266479563e-06
0,0
0.02,7.97740987112e-06
0.04,3.1819576552e-05
0.06,7.13920727762e-05
0.08,0.000126561356485
0.1,0.000197194765473
0.12,0.000283160512074
0.14,0.000384327677862
0.16,0.000500566208402
0.18,0.000631746908014
