x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
21.93,-5.34860121398e-06,6.93685905568e-05,-0.000569714519666,0.00337882255591,0.01509756097,-0.0512995882233,0.130649394044,-0.238271732508,0.279498169423,-0.152235838761
21.96,-5.20799526894e-06,6.76962215109e-05,-0.000557294135227,0.00331352177261,0.0148466015531,-0.0506027611435,0.12934186367,-0.236976664487,0.279944566118,-0.155413535528
21.99,-5.07097757079e-06,6.60626416514e-05,-0.000545130658058,0.00324939063763,0.0145993388652,-0.0499134737503,0.128041187763,-0.235672332973,0.280355155254,-0.158557640738
22.02,-4.93745962674e-06,6.44669919581e-05,-0.000533219116321,0.00318641030067,0.0143557283562,-0.0492316815211,0.126747446639,-0.234359063656,0.280730211097,-0.161667659632
22.05,-4.80735504036e-06,6.29084313769e-05,-0.000521554626152,0.00312456216848,0.014115725807,-0.0485573394241,0.125460717872,-0.233037179337,0.281070013123,-0.164743111946
22.08,-4.68057946425e-06,6.13861364704e-05,-0.000510132390303,0.00306382790235,0.0138792873312,-0.047890401939,0.124181076325,-0.231706999892,0.28137484586,-0.167783531891
22.11,-4.5570505538e-06,5.9899301076e-05,-0.000498947696791,0.00300418941568,0.0136463693774,-0.0472308230777,0.12290859418,-0.230368842231,0.281644998726,-0.170788468122
22.14,-4.43668792182e-06,5.84471359683e-05,-0.000487995917571,0.00294562887151,0.0134169287308,-0.0465785564041,0.121643340972,-0.229023020264,0.281880765874,-0.173757483701
22.17,-4.3194130942e-06,5.7028868529e-05,-0.000477272507226,0.00288812868001,0.0131909225153,-0.0459335550541,0.120385383619,-0.227669844864,0.28208244603,-0.176690156066
22.2,-4.20514946651e-06,5.56437424214e-05,-0.000466773001664,0.00283167149604,0.0129683081948,-0.0452957717555,0.119134786456,-0.226309623832,0.282250342341,-0.179586076976
22.23,-4.09382226153e-06,5.42910172715e-05,-0.000456493016846,0.00277624021669,0.0127490435748,-0.0446651588463,0.117891611265,-0.224942661867,0.282384762216,-0.182444852469
22.26,-3.98535848763e-06,5.29699683544e-05,-0.000446428247512,0.0027218179788,0.0125330868035,-0.0440416682947,0.116655917307,-0.223569260537,0.282486017172,-0.185266102806
22.29,-3.87968689819e-06,5.1679886286e-05,-0.000436574465939,0.00266838815653,0.0123203963733,-0.0434252517166,0.115427761356,-0.222189718244,0.282554422683,-0.188049462416
22.32,-3.77673795168e-06,5.04200767211e-05,-0.000426927520708,0.00261593435885,0.012110931122,-0.0428158603949,0.114207197731,-0.220804330205,0.282590298026,-0.190794579825
22.35,-3.6764437728e-06,4.91898600558e-05,-0.000417483335483,0.00256444042717,0.0119046502332,-0.0422134452966,0.112994278327,-0.219413388418,0.282593966129,-0.1935011176
22.38,-3.57873811435e-06,4.79885711358e-05,-0.000408237907816,0.00251389043283,0.0117015132379,-0.0416179570912,0.11178905265,-0.218017181643,0.282565753422,-0.196168752267
22.41,-3.48355631991e-06,4.68155589702e-05,-0.000399187307955,0.00246426867468,0.0115014800149,-0.0410293461675,0.110591567846,-0.216615995376,0.28250598969,-0.198797174243
22.44,-3.3908352874e-06,4.56701864499e-05,-0.000390327677677,0.00241555967668,0.0113045107913,-0.0404475626509,0.109401868738,-0.215210111828,0.282415007923,-0.201386087752
22.47,-3.30051343338e-06,4.45518300712e-05,-0.000381655229134,0.00236774818543,0.0111105661436,-0.0398725564204,0.108219997855,-0.213799809909,0.282293144172,-0.203935210745
22.5,-3.21253065814e-06,4.34598796647e-05,-0.000373166243712,0.0023208191678,0.0109196069975,-0.0393042771245,0.107045995467,-0.2123853652,0.282140737403,-0.206444274806
22.53,-3.12682831152e-06,4.2393738129e-05,-0.000364857070904,0.00227475780848,0.0107315946287,-0.0387426741979,0.105879899614,-0.210967049946,0.281958129355,-0.208913025068
22.56,-3.04334915952e-06,4.1352821169e-05,-0.000356724127205,0.0022295495076,0.0105464906631,-0.0381876968771,0.104721746143,-0.209545133033,0.281745664397,-0.211341220115
22.59,-2.9620373516e-06,4.03365570395e-05,-0.000348763895013,0.00218517987835,0.0103642570767,-0.037639294216,0.10357156874,-0.208119879975,0.281503689387,-0.213728631879
22.62,-2.88283838873e-06,3.93443862926e-05,-0.00034097292155,0.00214163474457,0.010184856196,-0.0370974151012,0.10242939896,-0.206691552903,0.281232553537,-0.216075045546
