x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
-0.84,0.390153382637,0.248675228693,-0.040879633279,-0.224453320823,-0.22132987857,-0.0922157001019,0.0755992391882,0.205734364097,0.195318911092,0.0144907916324
-0.82,0.391097445532,0.246262987799,-0.0447433330044,-0.226374612692,-0.219838286861,-0.0882604063156,0.0798775787705,0.207541380932,0.192525298336,0.00863698272672
-0.8,0.392027175118,0.243823005725,-0.0485987709602,-0.228238710892,-0.218277065739,-0.0842717789848,0.0841208714478,0.209243620135,0.1896203579,0.00277748338674
-0.78,0.39294248195,0.241355522891,-0.0524452283828,-0.230045112218,-0.216646678861,-0.0802513126022,0.0883272435606,0.210840192772,0.186605742784,-0.00308384627704
-0.76,0.393843278336,0.238860784426,-0.0562819872784,-0.231793328405,-0.214947613067,-0.076200515124,0.0924948367947,0.212330263601,0.18348317096,-0.00894314330411
-0.74,0.394729478356,0.236339040119,-0.0601083306028,-0.233482886285,-0.213180378237,-0.0721209073667,0.0966218090581,0.213713051554,0.180254424393,-0.0147965444962
-0.72,0.395600997868,0.233790544367,-0.0639235424397,-0.235113327953,-0.211345507134,-0.068014022397,0.100706335351,0.214987830185,0.176921348011,-0.0206401890315
-0.7,0.39645775453,0.23121555613,-0.0677269081802,-0.236684210917,-0.209443555236,-0.0638814049159,0.104746608631,0.216153928093,0.173485848642,-0.0264702210784
-0.68,0.397299667802,0.228614338873,-0.0715177147009,-0.238195108249,-0.207475100565,-0.0597246106378,0.108740840664,0.217210729313,0.169949893907,-0.0322827924081
-0.66,0.398126658968,0.22598716052,-0.0752952505419,-0.239645608728,-0.205440743498,-0.0555452056638,0.112687262871,0.218157673677,0.166315511079,-0.038074065003
-0.64,0.398938651138,0.223334293397,-0.0790588060844,-0.24103531698,-0.203341106581,-0.0513447658501,0.116584127168,0.218994257147,0.162584785901,-0.043840213659
-0.62,0.399735569266,0.220656014177,-0.0828076737279,-0.24236385361,-0.201176834327,-0.0471248761718,0.12042970679,0.21972003211,0.158759861369,-0.0495774285818
-0.6,0.40051734016,0.217952603827,-0.0865411480662,-0.243630855333,-0.198948593003,-0.0428871300827,0.124222297109,0.220334607653,0.154842936481,-0.0552819179717
-0.58,0.401283892489,0.215224347551,-0.0902585260637,-0.244835975093,-0.196657070414,-0.0386331288703,0.127960216443,0.220837649798,0.150836264947,-0.0609499105996
-0.56,0.402035156794,0.21247153473,-0.0939591072303,-0.245978882184,-0.194302975682,-0.0343644810078,0.131641806851,0.221228881709,0.146742153866,-0.0665776583679
-0.54,0.402771065502,0.209694458867,-0.0976421937953,-0.247059262362,-0.191887039002,-0.0300828015017,0.135265434917,0.22150808387,0.142562962369,-0.0721614388578
-0.52,0.403491552929,0.206893417524,-0.101307090882,-0.248076817948,-0.189410011408,-0.0257897112371,0.138829492526,0.22167509423,0.138301100233,-0.0776975578594
-0.5,0.404196555291,0.204068712266,-0.104953106679,-0.249031267935,-0.186872664517,-0.0214868363199,0.142332397625,0.221729808313,0.133959026454,-0.0831823518836
-0.48,0.404886010714,0.201220648597,-0.108579552612,-0.249922348078,-0.184275790271,-0.0171758074159,0.14577259497,0.2216721793,0.129539247804,-0.0886121906532
-0.46,0.405559859242,0.198349535897,-0.112185743517,-0.250749810987,-0.181620200675,-0.0128582590884,0.149148556866,0.221502218085,0.125044317339,-0.0939834795727
-0.44,0.40621804284,0.195455687363,-0.115770997808,-0.251513426213,-0.178906727514,-0.00853582913335,0.152458783888,0.221219993285,0.120476832897,-0.0992926621734
-0.42,0.406860505408,0.192539419939,-0.119334637643,-0.252212980323,-0.176136222079,-0.00421015791314,0.155701805592,0.220825631232,0.115839435553,-0.104536222533
-0.4,0.407487192781,0.189601054258,-0.122875989098,-0.252848276976,-0.173309554874,0.000117112311236,0.158876181208,0.220319315928,0.111134808052,-0.10971068767
-0.38,0.408098052741,0.186640914574,-0.126394382328,-0.253419136989,-0.170427615318,0.00444433804872,0.161980500328,0.219701288967,0.106365673223,-0.114812629905
-0.36,0.408693035018,0.183659328692,-0.129889151733,-0.253925398402,-0.167491311443,0.00876987524762,0.165013383564,0.218971849425,0.101534792355,-0.119838669194
-0.34,0.409272091301,0.180656627908,-0.133359636123,-0.254366916529,-0.164501569582,0.0130920799654,0.16797348321,0.218131353727,0.0966449635566,-0.124785475431
-0.32,0.409835175238,0.177633146936,-0.136805178882,-0.254743564013,-0.161459334048,0.0174093090387,0.170859483872,0.217180215469,0.0916990200932,-0.12964977071
-0.3,0.410382242442,0.17458922384,-0.140225128123,-0.255055230868,-0.158365566812,0.0217199207526,0.173670103089,0.216118905221,0.0866998286981,-0.134428331561
-0.28,0.410913250499,0.171525199968,-0.143618836856,-0.255301824519,-0.15522124717,0.0260222755104,0.176404091944,0.21494795029,0.0816502878655,-0.139117991141
-0.26,0.411428158965,0.168441419879,-0.146985663139,-0.255483269835,-0.152027371403,0.0303147365011,0.179060235648,0.213667934457,0.0765533261226,-0.143715641387
-0.24,0.411926929376,0.165338231273,-0.150324970237,-0.255599509158,-0.148784952434,0.0345956703674,0.181637354113,0.212279497681,0.0714119002829,-0.148218235134
-0.22,0.412409525248,0.162215984922,-0.153636126779,-0.255650502321,-0.145495019473,0.0388634478707,0.184134302511,0.210783335772,0.0662289936827,-0.152622788185
-0.2,0.412875912079,0.159075034593,-0.156918506909,-0.255636226666,-0.142158617664,0.0431164445553,0.18654997181,0.209180200039,0.0610076143998,-0.156926381341
-0.18,0.413326057354,0.155915736983,-0.160171490438,-0.255556677055,-0.138776807717,0.0473530414105,0.188883289294,0.207470896893,0.0557507934578,-0.161126162385
-0.16,0.413759930544,0.15273845164,-0.163394462994,-0.255411865873,-0.13535066554,0.0515716255296,0.191133219069,0.205656287441,0.050461583016,-0.165219348023
-0.14,0.414177503108,0.149543540892,-0.16658681617,-0.255201823027,-0.131881281867,0.0557705907671,0.193298762549,0.203737287031,0.0451430545457,-0.169203225771
-0.12,0.414578748495,0.146331369772,-0.169747947671,-0.254926595937,-0.128369761871,0.0599483383922,0.195378958922,0.201714864777,0.0397982969951,-0.173075155799
-0.1,0.414963642146,0.143102305943,-0.17287726146,-0.254586249527,-0.124817224783,0.0641032777398,0.197372885598,0.199590043054,0.0344304149435,-0.176832572722
