t,E
1.590010000001949,0.2601637987550157
1.600010000002015,0.2601637987552056
1.61001000000208,0.260163798755396
1.620010000002146,0.2601637987555878
1.630010000002211,0.2601637987557771
1.640010000002277,0.2601637987559682
1.650010000002342,0.2601637987561604
1.660010000002408,0.2601637987563525
1.670010000002473,0.2601637987565436
1.680010000002539,0.2601637987567326
1.690010000002604,0.2601637987569235
1.70001000000267,0.2601637987571147
1.710010000002735,0.2601637987573061
1.720010000002801,0.2601637987574992
1.730010000002866,0.2601637987576896
1.740010000002932,0.2601637987578818
1.750010000002997,0.2601637987580727
1.760010000003063,0.2601637987582646
1.770010000003128,0.2601637987584556
1.780010000003194,0.2601637987586448
1.790010000003259,0.2601637987588335
1.800010000003325,0.2601637987590243
1.81001000000339,0.2601637987592161
1.820010000003456,0.2601637987594074
