method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,48001,4.800100,0.0001,0.408,9,1.104534e-10,5.563535e-11,3.095292e-21,10,6.155772e-14
cheb,48501,4.850100,0.0001,0.302,9,1.116045e-10,5.621703e-11,3.160355e-21,10,6.155772e-14
cheb,49001,4.900100,0.0001,0.128,9,1.127562e-10,5.680110e-11,3.226365e-21,10,6.155772e-14
cheb,49501,4.950100,0.0001,0.214,9,1.139089e-10,5.738402e-11,3.292926e-21,10,6.155772e-14
cheb,50001,5.000100,0.0001,0.119,9,1.150580e-10,5.796944e-11,3.360456e-21,10,6.155772e-14
cheb,50501,5.050100,0.0001,0.128,9,1.162106e-10,5.855373e-11,3.428539e-21,10,6.155772e-14
cheb,51001,5.100100,0.0001,0.249,9,1.173632e-10,5.913906e-11,3.497429e-21,10,6.155772e-14
cheb,51501,5.150100,0.0001,0.134,9,1.185116e-10,5.972183e-11,3.566697e-21,10,6.155772e-14
cheb,52001,5.200100,0.0001,0.140,9,1.196581e-10,6.030455e-11,3.636638e-21,10,6.155772e-14
cheb,52501,5.250100,0.0001,0.132,9,1.208122e-10,6.088845e-11,3.707403e-21,10,6.155772e-14
cheb,53001,5.300100,0.0001,0.134,9,1.219618e-10,6.147226e-11,3.778839e-21,10,6.155772e-14
cheb,53501,5.350100,0.0001,0.118,9,1.231077e-10,6.205730e-11,3.851109e-21,10,6.155772e-14
cheb,54001,5.400100,0.0001,0.144,9,1.242599e-10,6.263910e-11,3.923656e-21,10,6.155772e-14
cheb,54501,5.450100,0.0001,0.139,9,1.254059e-10,6.322362e-11,3.997226e-21,10,6.155772e-14
cheb,55001,5.500100,0.0001,0.192,9,1.265574e-10,6.380832e-11,4.071501e-21,10,6.155772e-14
cheb,55501,5.550100,0.0001,0.244,9,1.277074e-10,6.439135e-11,4.146247e-21,10,6.155772e-14
cheb,56001,5.600100,0.0001,0.155,9,1.288565e-10,6.497438e-11,4.221670e-21,10,6.155772e-14
cheb,56501,5.650100,0.0001,0.144,9,1.300076e-10,6.555959e-11,4.298060e-21,10,6.155772e-14
cheb,57001,5.700100,0.0001,0.200,9,1.311589e-10,6.614460e-11,4.375108e-21,10,6.155772e-14
cheb,57501,5.750100,0.0001,0.263,9,1.323113e-10,6.673006e-11,4.452900e-21,10,6.155772e-14
cheb,58001,5.800100,0.0001,0.140,9,1.334599e-10,6.731688e-11,4.531563e-21,10,6.155772e-14
cheb,58501,5.850100,0.0001,0.128,9,1.346137e-10,6.790265e-11,4.610770e-21,10,6.155772e-14
cheb,59001,5.900100,0.0001,0.284,9,1.357614e-10,6.848474e-11,4.690160e-21,10,6.155772e-14
cheb,59501,5.950100,0.0001,0.139,9,1.369156e-10,6.907247e-11,4.771006e-21,10,6.155772e-14
cheb,60001,6.000100,0.0001,0.481,9,1.380633e-10,6.965640e-11,4.852014e-21,10,6.155772e-14
cheb,60501,6.050100,0.0001,0.138,9,1.392133e-10,7.024150e-11,4.933869e-21,10,6.155772e-14
cheb,61001,6.100100,0.0001,0.127,9,1.403662e-10,7.082820e-11,5.016633e-21,10,6.155772e-14
cheb,61501,6.150100,0.0001,0.128,9,1.415168e-10,7.141451e-11,5.100033e-21,10,6.155772e-14
cheb,62001,6.200100,0.0001,0.141,9,1.426705e-10,7.199954e-11,5.183934e-21,10,6.155772e-14
cheb,62501,6.250100,0.0001,0.134,9,1.438218e-10,7.258553e-11,5.268660e-21,10,6.155772e-14
cheb,63001,6.300100,0.0001,0.125,9,1.449714e-10,7.317240e-11,5.354200e-21,10,6.155772e-14
cheb,63501,6.350100,0.0001,0.134,9,1.461247e-10,7.375686e-11,5.440075e-21,10,6.155772e-14
cheb,64001,6.400100,0.0001,0.134,9,1.472731e-10,7.434265e-11,5.526830e-21,10,6.155772e-14
cheb,64501,6.450100,0.0001,0.275,9,1.484239e-10,7.492919e-11,5.614384e-21,10,6.155772e-14
cheb,65001,6.500100,0.0001,0.128,9,1.495750e-10,7.551310e-11,5.702229e-21,10,6.155772e-14
cheb,65501,6.550100,0.0001,0.133,9,1.507241e-10,7.609915e-11,5.791081e-21,10,6.155772e-14
cheb,66001,6.600100,0.0001,0.121,9,1.518736e-10,7.668453e-11,5.880518e-21,10,6.155772e-14
cheb,66501,6.650100,0.0001,0.123,9,1.530240e-10,7.727147e-11,5.970881e-21,10,6.155772e-14
cheb,67001,6.700100,0.0001,0.222,9,1.541753e-10,7.785634e-11,6.061609e-21,10,6.155772e-14
cheb,67501,6.750100,0.0001,0.129,9,1.553258e-10,7.844268e-11,6.153255e-21,10,6.155772e-14
cheb,68001,6.800100,0.0001,0.167,9,1.564728e-10,7.902445e-11,6.244863e-21,10,6.155772e-14
cheb,68501,6.850100,0.0001,0.123,9,1.576221e-10,7.961415e-11,6.338414e-21,10,6.155772e-14
cheb,69001,6.900100,0.0001,0.129,9,1.587763e-10,8.019863e-11,6.431820e-21,10,6.155772e-14
cheb,69501,6.950100,0.0001,0.129,9,1.599250e-10,8.078499e-11,6.526214e-21,10,6.155772e-14
cheb,70001,7.000100,0.0001,0.148,9,1.610760e-10,8.137010e-11,6.621094e-21,10,6.155772e-14
cheb,70501,7.050100,0.0001,0.163,9,1.622242e-10,8.195529e-11,6.716669e-21,10,6.155772e-14
cheb,71001,7.100100,0.0001,0.171,9,1.633771e-10,8.254083e-11,6.812988e-21,10,6.155772e-14
cheb,71501,7.150100,0.0001,0.142,9,1.645268e-10,8.312434e-11,6.909656e-21,10,6.155772e-14
cheb,72001,7.200100,0.0001,0.127,9,1.656775e-10,8.371083e-11,7.007503e-21,10,6.155772e-14
cheb,72501,7.250100,0.0001,0.128,9,1.668305e-10,8.429574e-11,7.105772e-21,10,6.155772e-14
cheb,73001,7.300100,0.0001,0.128,9,1.679790e-10,8.488196e-11,7.204947e-21,10,6.155772e-14
cheb,73501,7.350100,0.0001,0.235,9,1.691300e-10,8.546756e-11,7.304704e-21,10,6.155772e-14
cheb,74001,7.400100,0.0001,0.127,9,1.702836e-10,8.605274e-11,7.405073e-21,10,6.155772e-14
cheb,74501,7.450100,0.0001,0.123,9,1.714298e-10,8.663683e-11,7.505940e-21,10,6.155772e-14
cheb,75001,7.500100,0.0001,0.128,9,1.725839e-10,8.722272e-11,7.607802e-21,10,6.155772e-14
cheb,75501,7.550100,0.0001,0.129,9,1.737333e-10,8.780630e-11,7.709947e-21,10,6.155772e-14
cheb,76001,7.600100,0.0001,0.144,9,1.748819e-10,8.839125e-11,7.813014e-21,10,6.155772e-14
cheb,76501,7.650100,0.0001,0.139,9,1.760325e-10,8.897628e-11,7.916779e-21,10,6.155772e-14
cheb,77001,7.700100,0.0001,0.146,9,1.771836e-10,8.956158e-11,8.021277e-21,10,6.155772e-14
cheb,77501,7.750100,0.0001,0.123,9,1.783331e-10,9.014374e-11,8.125893e-21,10,6.155772e-14
cheb,78001,7.800100,0.0001,0.232,9,1.794849e-10,9.072714e-11,8.231414e-21,10,6.155772e-14
cheb,78501,7.850100,0.0001,0.127,9,1.806371e-10,9.131260e-11,8.337992e-21,10,6.155772e-14
cheb,79001,7.900100,0.0001,0.217,9,1.817846e-10,9.189639e-11,8.444946e-21,10,6.155772e-14
cheb,79501,7.950100,0.0001,0.233,9,1.829399e-10,9.248202e-11,8.552924e-21,10,6.155772e-14
cheb,80001,8.000100,0.0001,0.128,9,1.840896e-10,9.306462e-11,8.661023e-21,10,6.155772e-14
cheb,80501,8.050100,0.0001,0.133,9,1.852396e-10,9.364761e-11,8.769874e-21,10,6.155772e-14
cheb,81001,8.100100,0.0001,0.142,9,1.863882e-10,9.423214e-11,8.879697e-21,10,6.155772e-14
cheb,81501,8.150100,0.0001,0.233,9,1.875402e-10,9.481494e-11,8.989874e-21,10,6.155772e-14
cheb,82001,8.200100,0.0001,0.124,9,1.886893e-10,9.539891e-11,9.100953e-21,10,6.155772e-14
cheb,82501,8.250100,0.0001,0.123,9,1.898424e-10,9.598252e-11,9.212645e-21,10,6.155772e-14
cheb,83001,8.300100,0.0001,0.215,9,1.909921e-10,9.656821e-11,9.325418e-21,10,6.155772e-14
cheb,83501,8.350100,0.0001,0.175,9,1.921414e-10,9.715135e-11,9.438386e-21,10,6.155772e-14
cheb,84001,8.400100,0.0001,0.142,9,1.932925e-10,9.773600e-11,9.552326e-21,10,6.155772e-14
cheb,84501,8.450100,0.0001,0.122,9,1.944431e-10,9.831828e-11,9.666485e-21,10,6.155772e-14
cheb,85001,8.500100,0.0001,0.127,9,1.955944e-10,9.890315e-11,9.781834e-21,10,6.155772e-14
cheb,85501,8.550100,0.0001,0.123,9,1.967426e-10,9.948642e-11,9.897548e-21,10,6.155772e-14
cheb,86001,8.600100,0.0001,0.133,9,1.978930e-10,1.000714e-10,1.001430e-20,10,6.155772e-14
